name,price,speed,modules,price_per_gb,first_word_latency,cas_latency,planks,size
Mushkin Silverline 64 GB,109.99,"[4, 3200]","[2, 32]",1.719,13.75,22.0,2,64
TEAMGROUP T-Force Vulcan Z 16 GB,89.99,"[4, 3600]","[2, 8]",5.624,7.778,14.0,2,16
G.Skill Value 4 GB,12.33,"[3, 1333]","[1, 4]",3.083,13.503,9.0,2,4
Kingston FURY Beast RGB 32 GB,88.87,"[4, 3200]","[2, 16]",2.777,10.0,16.0,2,32
G.Skill Trident Z Royal 32 GB,269.92,"[4, 4000]","[2, 16]",8.435,8.0,16.0,2,32
TEAMGROUP T-Force Vulcan Z 8 GB,23.41,"[4, 3200]","[1, 8]",2.926,10.0,16.0,2,8
G.Skill Trident Z RGB 16 GB,69.98,"[4, 4000]","[2, 8]",4.374,9.0,18.0,2,16
G.Skill Aegis 16 GB,35.99,"[4, 2133]","[2, 8]",2.249,14.065,15.0,2,16
Gigabyte AORUS RGB 16 GB,120.9,"[4, 3600]","[2, 8]",7.556,10.0,18.0,2,16
Kingston FURY Beast 16 GB,39.97,"[4, 3600]","[1, 16]",2.498,10.0,18.0,2,16
Kingston FURY Beast RGB 32 GB,130.08,"[5, 4800]","[2, 16]",4.065,15.833,38.0,2,32
Kingston FURY Beast RGB 32 GB,139.99,"[5, 6000]","[2, 16]",4.375,13.333,40.0,2,32
G.Skill Flare X 32 GB,63.99,"[4, 3200]","[2, 16]",2.0,10.0,16.0,2,32
Kingston FURY 32 GB,158.52,"[5, 5600]","[2, 16]",4.954,14.286,40.0,2,32
TEAMGROUP T-Force Delta RGB 32 GB,209.99,"[5, 7600]","[2, 16]",6.562,9.474,36.0,2,32
Kingston KVR16N11S6/2 2 GB,34.4,"[3, 1600]","[1, 2]",17.2,13.75,11.0,2,2
G.Skill Ripjaws S5 32 GB,97.99,"[5, 5600]","[2, 16]",3.062,10.714,30.0,2,32
Patriot Signature Line 8 GB,16.48,"[4, 2666]","[1, 8]",2.06,14.254,19.0,2,8
V-Color Prism Pro 16 GB,46.99,"[4, 3600]","[2, 8]",2.937,10.0,18.0,2,16
TEAMGROUP Elite 16 GB,30.99,"[4, 2666]","[2, 8]",1.937,14.254,19.0,2,16
Corsair Vengeance LPX 16 GB,44.99,"[4, 2400]","[2, 8]",2.812,11.667,14.0,2,16
G.Skill Ripjaws V 8 GB,34.99,"[4, 3200]","[2, 4]",4.374,10.0,16.0,2,8
Mushkin Silverline 4 GB,29.01,"[2, 800]","[2, 2]",7.253,12.5,5.0,2,4
Corsair Vengeance LPX 4 GB,19.99,"[4, 2400]","[1, 4]",4.997,13.333,16.0,2,4
G.Skill Trident Z5 RGB 64 GB,217.99,"[5, 6000]","[2, 32]",3.406,10.0,30.0,2,64
Corsair Vengeance LPX 16 GB,44.99,"[4, 2666]","[2, 8]",2.812,12.003,16.0,2,16
TEAMGROUP T-Force Delta RGB 16 GB,54.99,"[4, 4000]","[2, 8]",3.437,9.0,18.0,2,16
Samsung M393A1G40EB1-CRC 8 GB,13.44,"[4, 2400]","[1, 8]",1.68,14.167,17.0,2,8
Crucial CT2K4G4DFS8266 8 GB,21.8,"[4, 2666]","[2, 4]",2.725,14.254,19.0,2,8
Corsair Vengeance LPX 16 GB,49.99,"[4, 2933]","[2, 8]",3.124,10.91,16.0,2,16
Corsair Vengeance RGB Pro SL 16 GB,79.98,"[4, 3600]","[2, 8]",4.999,8.889,16.0,2,16
G.Skill Ripjaws V 32 GB,54.99,"[4, 2666]","[1, 32]",1.718,13.503,18.0,2,32
Corsair Vengeance RGB RT 64 GB,174.99,"[4, 3200]","[2, 32]",2.734,10.0,16.0,2,64
Corsair Dominator Platinum RGB 32 GB,209.99,"[5, 7000]","[2, 16]",6.562,9.714,34.0,2,32
TEAMGROUP T-Force Delta RGB 32 GB,159.99,"[5, 7000]","[2, 16]",5.0,9.714,34.0,2,32
TEAMGROUP Elite Plus 32 GB,81.99,"[5, 5200]","[2, 16]",2.562,16.154,42.0,2,32
Corsair Vengeance LPX 16 GB,39.99,"[4, 3200]","[1, 16]",2.499,10.0,16.0,2,16
Corsair Vengeance LPX 8 GB,24.99,"[4, 3200]","[1, 8]",3.124,10.0,16.0,2,8
PNY XLR8 Gaming MAKO 32 GB,119.99,"[5, 5600]","[2, 16]",3.75,12.857,36.0,2,32
G.Skill Ripjaws X 16 GB,39.99,"[3, 1600]","[2, 8]",2.499,11.25,9.0,2,16
Patriot Viper Steel RGB 64 GB,121.99,"[4, 3600]","[2, 32]",1.906,11.111,20.0,2,64
Kingston KCP316ND8/8 8 GB,18.8,"[3, 1600]","[1, 8]",2.35,13.75,11.0,2,8
G.Skill Trident Z5 RGB 32 GB,124.99,"[5, 6000]","[2, 16]",3.906,10.667,32.0,2,32
Corsair Dominator Platinum RGB 32 GB,119.99,"[5, 5600]","[2, 16]",3.75,12.857,36.0,2,32
ADATA XPG LANCER RGB 16 GB,87.89,"[5, 5200]","[1, 16]",5.493,14.615,38.0,2,16
Kingston FURY Beast 16 GB,65.8,"[5, 6000]","[1, 16]",4.112,13.333,40.0,2,16
G.Skill Ripjaws V 16 GB,41.99,"[4, 2666]","[2, 8]",2.624,11.253,15.0,2,16
Kingston FURY 64 GB,281.93,"[5, 5600]","[2, 32]",4.405,14.286,40.0,2,64
G.Skill Trident Z Neo 16 GB,56.99,"[4, 3200]","[2, 8]",3.562,10.0,16.0,2,16
Corsair Vengeance RGB Pro 128 GB,344.99,"[4, 3600]","[4, 32]",2.695,10.0,18.0,2,128
Crucial CT8G4DFS8266 8 GB,27.59,"[4, 2666]","[1, 8]",3.449,14.254,19.0,2,8
Corsair Vengeance RGB Pro 16 GB,59.99,"[4, 2666]","[2, 8]",3.749,12.003,16.0,2,16
Corsair Vengeance 64 GB,185.03,"[5, 5600]","[2, 32]",2.891,12.857,36.0,2,64
Corsair Dominator Platinum RGB 32 GB,164.99,"[4, 3200]","[4, 8]",5.156,10.0,16.0,2,32
Corsair Vengeance LPX 16 GB,84.99,"[4, 4000]","[2, 8]",5.312,9.5,19.0,2,16
Corsair Vengeance RGB Pro 32 GB,94.99,"[4, 2666]","[2, 16]",2.968,12.003,16.0,2,32
Kingston ValueRAM 32 GB,639.99,"[4, 2133]","[2, 16]",20.0,14.065,15.0,2,32
Crucial CT2K16G56C46S5 32 GB,89.99,"[5, 5600]","[2, 16]",2.812,16.429,46.0,2,32
Kingston FURY Renegade 64 GB,193.0,"[4, 3600]","[4, 16]",3.016,8.889,16.0,2,64
G.Skill Trident Z RGB 16 GB,92.99,"[4, 3200]","[2, 8]",5.812,8.75,14.0,2,16
TEAMGROUP T-Create Expert 64 GB,121.99,"[4, 3600]","[2, 32]",1.906,10.0,18.0,2,64
Patriot Viper Steel 16 GB,42.99,"[4, 3600]","[2, 8]",2.687,9.444,17.0,2,16
ADATA XPG LANCER RGB 32 GB,179.99,"[5, 7200]","[2, 16]",5.625,9.444,34.0,2,32
ADATA XPG GAMMIX D45 16 GB,59.99,"[4, 3600]","[2, 8]",3.749,10.0,18.0,2,16
G.Skill NS 2 GB,10.87,"[3, 1333]","[1, 2]",5.435,13.503,9.0,2,2
TEAMGROUP T-Force Vulcan Z 8 GB,21.93,"[4, 3200]","[1, 8]",2.741,10.0,16.0,2,8
Patriot PSD48G2133K 8 GB,19.98,"[4, 2133]","[2, 4]",2.498,14.065,15.0,2,8
Corsair Vengeance 32 GB,94.99,"[5, 5200]","[1, 32]",2.968,15.385,40.0,2,32
Neo Forza FAYE 32 GB,124.99,"[4, 3600]","[2, 16]",3.906,10.0,18.0,2,32
Corsair Vengeance LPX 64 GB,149.99,"[4, 2666]","[4, 16]",2.344,12.003,16.0,2,64
G.Skill Trident Z5 RGB 32 GB,94.99,"[5, 6000]","[2, 16]",2.968,13.333,40.0,2,32
Patriot Viper Black 32 GB,99.99,"[5, 6200]","[2, 16]",3.125,12.903,40.0,2,32
G.Skill Ripjaws S5 32 GB,92.99,"[5, 5600]","[2, 16]",2.906,14.286,40.0,2,32
Corsair Dominator Platinum RGB 64 GB,239.99,"[4, 3200]","[4, 16]",3.75,10.0,16.0,2,64
Patriot Viper Steel 64 GB,114.99,"[4, 3200]","[2, 32]",1.797,10.0,16.0,2,64
G.Skill Trident Z RGB 32 GB,199.99,"[4, 4000]","[2, 16]",6.25,8.0,16.0,2,32
Kingston FURY Beast 128 GB,291.2,"[4, 3200]","[4, 32]",2.275,10.0,16.0,2,128
G.Skill Aegis 16 GB,29.99,"[4, 2666]","[1, 16]",1.874,14.254,19.0,2,16
Corsair Vengeance RGB 32 GB,144.99,"[5, 6400]","[2, 16]",4.531,11.875,38.0,2,32
Kingston FURY Beast 8 GB,40.64,"[5, 5600]","[1, 8]",5.08,14.286,40.0,2,8
Kingston KVR21R15D4K4/64 64 GB,130.0,"[4, 2133]","[4, 16]",2.031,14.065,15.0,2,64
G.Skill Ripjaws S5 64 GB,187.99,"[5, 5600]","[2, 32]",2.937,10.714,30.0,2,64
Patriot Viper Steel 16 GB,43.99,"[4, 3733]","[2, 8]",2.749,9.108,17.0,2,16
G.Skill Trident Z5 RGB 32 GB,124.99,"[5, 6000]","[2, 16]",3.906,10.667,32.0,2,32
TEAMGROUP Elite 64 GB,149.99,"[5, 5200]","[2, 32]",2.344,16.154,42.0,2,64
GeIL Polaris 32 GB,82.99,"[5, 5200]","[2, 16]",2.593,13.077,34.0,2,32
Kingston FURY Beast 16 GB,71.98,"[5, 5600]","[1, 16]",4.499,12.857,36.0,2,16
Kingston FURY Beast 32 GB,81.75,"[4, 3600]","[1, 32]",2.555,9.444,17.0,2,32
TEAMGROUP T-Force DELTAα RGB 32 GB,99.99,"[5, 6000]","[2, 16]",3.125,12.667,38.0,2,32
Corsair Vengeance RGB Pro SL 16 GB,49.99,"[4, 3200]","[2, 8]",3.124,10.0,16.0,2,16
Kingston FURY Renegade 32 GB,239.4,"[5, 7200]","[2, 16]",7.481,10.556,38.0,2,32
Silicon Power XPOWER Zenith Gaming 64 GB,180.99,"[5, 5600]","[2, 32]",2.828,14.286,40.0,2,64
TEAMGROUP Elite 32 GB,69.98,"[5, 4800]","[1, 32]",2.187,16.667,40.0,2,32
G.Skill Trident Z Neo 64 GB,184.99,"[4, 4000]","[2, 32]",2.89,9.0,18.0,2,64
Kingston FURY Beast RGB 64 GB,219.99,"[5, 5200]","[2, 32]",3.437,15.385,40.0,2,64
TEAMGROUP T-Force Delta RGB 16 GB,54.99,"[4, 4000]","[2, 8]",3.437,9.0,18.0,2,16
G.Skill Ripjaws V 16 GB,39.78,"[4, 2133]","[2, 8]",2.486,14.065,15.0,2,16
G.Skill Trident Z5 RGB 64 GB,224.99,"[5, 6000]","[2, 32]",3.515,10.667,32.0,2,64
Corsair Vengeance 64 GB,204.99,"[5, 6000]","[2, 32]",3.203,13.333,40.0,2,64
Samsung M393A4K40BB1-CRC 32 GB,35.01,"[4, 2400]","[1, 32]",1.094,14.167,17.0,2,32
G.Skill Ripjaws V 16 GB,89.99,"[4, 4000]","[2, 8]",5.624,8.0,16.0,2,16
HP V10 RGB 32 GB,129.99,"[4, 3200]","[2, 16]",4.062,8.75,14.0,2,32
Mushkin Proline 32 GB,78.12,"[4, 3200]","[1, 32]",2.441,13.75,22.0,2,32
Corsair Dominator Platinum RGB 64 GB,264.99,"[5, 6000]","[2, 32]",4.14,13.333,40.0,2,64
Crucial CT2K16G4RFD4213 32 GB,66.84,"[4, 2133]","[2, 16]",2.089,14.065,15.0,2,32
Corsair Vengeance LPX 8 GB,24.99,"[4, 2666]","[1, 8]",3.124,12.003,16.0,2,8
Kingston FURY Beast RGB 16 GB,44.99,"[4, 3200]","[1, 16]",2.812,10.0,16.0,2,16
G.Skill Trident Z Royal 64 GB,199.99,"[4, 3000]","[4, 16]",3.125,10.667,16.0,2,64
Patriot Signature Line 4 GB,10.99,"[4, 2666]","[1, 4]",2.748,14.254,19.0,2,4
G.Skill Aegis 16 GB,35.61,"[4, 2400]","[2, 8]",2.226,14.167,17.0,2,16
TEAMGROUP T-Force Xtreem ARGB 32 GB,163.99,"[4, 4000]","[2, 16]",5.125,9.0,18.0,2,32
ADATA XPG GAMMIX D10 32 GB,94.39,"[4, 3200]","[2, 16]",2.95,10.0,16.0,2,32
TEAMGROUP Elite 64 GB,89.99,"[4, 3200]","[2, 32]",1.406,13.75,22.0,2,64
TEAMGROUP Elite 32 GB,79.98,"[5, 5200]","[2, 16]",2.499,16.154,42.0,2,32
Timetec PINNACLE Konduit 8 GB,19.99,"[4, 3200]","[1, 8]",2.499,10.0,16.0,2,8
Crucial CT8G4DFD8213 8 GB,21.0,"[4, 2133]","[1, 8]",2.625,14.065,15.0,2,8
Crucial CT102464BD160B 8 GB,23.0,"[3, 1600]","[1, 8]",2.875,13.75,11.0,2,8
G.Skill Trident Z RGB 64 GB,147.99,"[4, 3200]","[2, 32]",2.312,10.0,16.0,2,64
Kingston Renegade Silver 16 GB,74.52,"[5, 6000]","[1, 16]",4.657,10.667,32.0,2,16
TEAMGROUP T-Force Vulcan 32 GB,79.98,"[5, 5600]","[2, 16]",2.499,12.857,36.0,2,32
Corsair Vengeance LPX 32 GB,69.98,"[4, 2666]","[1, 32]",2.187,12.003,16.0,2,32
G.Skill Zeta R5 64 GB,519.99,"[5, 6400]","[4, 16]",8.125,10.0,32.0,2,64
Thermaltake TOUGHRAM RGB 16 GB,135.99,"[4, 3600]","[2, 8]",8.499,10.0,18.0,2,16
Kingston KVR16N11/8 8 GB,28.98,"[3, 1600]","[1, 8]",3.623,13.75,11.0,2,8
Mushkin Redline 16 GB,54.6,"[4, 3600]","[2, 8]",3.413,7.778,14.0,2,16
Kingston FURY Beast RGB 16 GB,71.39,"[5, 5600]","[1, 16]",4.462,12.857,36.0,2,16
Patriot Viper Steel RGB 16 GB,36.99,"[4, 3600]","[1, 16]",2.312,11.111,20.0,2,16
Patriot Signature Line 16 GB,32.99,"[4, 3200]","[2, 8]",2.062,11.875,19.0,2,16
TEAMGROUP T-Force Delta RGB 32 GB,199.99,"[4, 3600]","[2, 16]",6.25,7.778,14.0,2,32
Kingston FURY Beast RGB 16 GB,75.9,"[5, 6000]","[1, 16]",4.744,12.0,36.0,2,16
Kingston FURY Beast 32 GB,107.64,"[5, 5200]","[1, 32]",3.364,15.385,40.0,2,32
Klevv BOLT X 32 GB,57.99,"[4, 3200]","[2, 16]",1.812,10.0,16.0,2,32
G.Skill Trident Z5 RGB 32 GB,107.99,"[5, 5600]","[2, 16]",3.375,12.857,36.0,2,32
Corsair Vengeance LPX 8 GB,34.99,"[4, 2400]","[2, 4]",4.374,13.333,16.0,2,8
Corsair ValueSelect 8 GB,24.99,"[4, 2666]","[1, 8]",3.124,13.503,18.0,2,8
G.Skill Trident Z Royal 64 GB,240.52,"[4, 4000]","[2, 32]",3.758,9.0,18.0,2,64
Kingston FURY Beast 32 GB,126.5,"[5, 5600]","[2, 16]",3.953,14.286,40.0,2,32
Corsair Vengeance RGB Pro 16 GB,67.98,"[4, 3600]","[2, 8]",4.249,10.0,18.0,2,16
G.Skill Ripjaws S5 64 GB,167.99,"[5, 5200]","[2, 32]",2.625,13.846,36.0,2,64
PNY XLR8 Gaming EPIC-X RGB 16 GB,79.98,"[4, 4600]","[2, 8]",4.999,8.261,19.0,2,16
Kingston FURY Beast 32 GB,85.11,"[4, 2666]","[2, 16]",2.66,12.003,16.0,2,32
Corsair CMV8GX4M1A2133C15 8 GB,19.99,"[4, 2133]","[1, 8]",2.499,14.065,15.0,2,8
G.Skill Trident Z 32 GB,124.99,"[5, 6000]","[2, 16]",3.906,10.0,30.0,2,32
Kingston FURY 64 GB,306.54,"[5, 5600]","[2, 32]",4.79,14.286,40.0,2,64
Kingston FURY Beast 8 GB,41.83,"[5, 5200]","[1, 8]",5.229,15.385,40.0,2,8
Kingston FURY Beast 8 GB,26.82,"[4, 2666]","[1, 8]",3.353,12.003,16.0,2,8
Corsair Vengeance RGB Pro SL 32 GB,99.99,"[4, 3200]","[2, 16]",3.125,10.0,16.0,2,32
Patriot Viper RGB 32 GB,109.99,"[5, 6000]","[2, 16]",3.437,12.0,36.0,2,32
Corsair Vengeance LPX 16 GB,39.99,"[4, 2666]","[1, 16]",2.499,12.003,16.0,2,16
OLOy WarHawk RGB 16 GB,41.99,"[4, 3600]","[2, 8]",2.624,10.0,18.0,2,16
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"[5, 5200]","[2, 32]",2.89,15.385,40.0,2,64
Kingston KVR16N11S8K2/8 8 GB,49.0,"[3, 1600]","[2, 4]",6.125,13.75,11.0,2,8
PNY XLR8 Gaming EPIC-X RGB 16 GB,46.99,"[4, 3600]","[2, 8]",2.937,10.0,18.0,2,16
Kingston FURY Beast RGB 8 GB,37.99,"[5, 5200]","[1, 8]",4.749,15.385,40.0,2,8
ADATA Premier 8 GB,49.97,"[4, 2400]","[1, 8]",6.246,14.167,17.0,2,8
Kingston FURY Beast RGB 32 GB,121.95,"[4, 3600]","[4, 8]",3.811,9.444,17.0,2,32
Mushkin Enhanced Redline Stiletto 16 GB,37.99,"[4, 3600]","[2, 8]",2.374,10.0,18.0,2,16
Kingston FURY Beast RGB 64 GB,174.1,"[4, 3600]","[2, 32]",2.72,10.0,18.0,2,64
Timetec 75TT133U2R8-8G 8 GB,11.99,"[3, 1333]","[1, 8]",1.499,13.503,9.0,2,8
G.Skill Ripjaws V 32 GB,266.34,"[4, 3600]","[2, 16]",8.323,7.778,14.0,2,32
OLOy Blade RGB 64 GB,278.99,"[5, 6400]","[2, 32]",4.359,10.0,32.0,2,64
G.Skill Ripjaws V 16 GB,85.09,"[4, 3600]","[2, 8]",5.318,8.889,16.0,2,16
G.Skill Trident Z Neo 16 GB,124.99,"[4, 3600]","[2, 8]",7.812,7.778,14.0,2,16
Kingston FURY Beast RGB 64 GB,249.99,"[5, 6000]","[2, 32]",3.906,13.333,40.0,2,64
Kingston FURY Beast 64 GB,232.05,"[5, 5600]","[2, 32]",3.626,12.857,36.0,2,64
Kingston FURY Beast 16 GB,41.99,"[4, 3200]","[1, 16]",2.624,10.0,16.0,2,16
Corsair Dominator Platinum RGB 32 GB,124.99,"[4, 3466]","[2, 16]",3.906,9.233,16.0,2,32
PNY XLR8 Gaming EPIC-X RGB 32 GB,69.99,"[4, 3200]","[2, 16]",2.187,10.0,16.0,2,32
Corsair Vengeance RGB RT 32 GB,99.99,"[4, 3200]","[2, 16]",3.125,10.0,16.0,2,32
Patriot Viper Elite II 16 GB,34.99,"[4, 4000]","[1, 16]",2.187,10.0,20.0,2,16
OLOy Blade RGB 32 GB,238.99,"[5, 7800]","[2, 16]",7.468,9.231,36.0,2,32
Neo Forza FAYE 16 GB,32.99,"[4, 3200]","[2, 8]",2.062,10.0,16.0,2,16
G.Skill Trident Z 16 GB,57.52,"[4, 3200]","[2, 8]",3.595,10.0,16.0,2,16
Crucial Ballistix Sport LT 16 GB,157.79,"[4, 2400]","[2, 8]",9.862,13.333,16.0,2,16
Kingston HyperX Fury 8 GB,78.9,"[3, 1600]","[1, 8]",9.863,12.5,10.0,2,8
G.Skill Trident Z RGB 64 GB,114.99,"[4, 2666]","[2, 32]",1.797,13.503,18.0,2,64
TEAMGROUP T-Force Vulcan Z 16 GB,49.99,"[4, 3600]","[2, 8]",3.124,7.778,14.0,2,16
Kingston FURY Renegade 32 GB,196.35,"[5, 6400]","[2, 16]",6.136,10.0,32.0,2,32
G.Skill Ripjaws S5 64 GB,177.99,"[5, 5600]","[2, 32]",2.781,12.857,36.0,2,64
Crucial Ballistix Sport 16 GB,88.88,"[3, 1600]","[2, 8]",5.555,11.25,9.0,2,16
G.Skill Trident X 16 GB,109.39,"[3, 2400]","[2, 8]",6.837,8.333,10.0,2,16
Crucial CT2K16G4DFD8266 32 GB,110.5,"[4, 2666]","[2, 16]",3.453,14.254,19.0,2,32
G.Skill Ripjaws V 16 GB,119.99,"[4, 3600]","[2, 8]",7.499,7.778,14.0,2,16
OLOy Blade RGB 32 GB,135.99,"[5, 6400]","[2, 16]",4.25,10.0,32.0,2,32
G.Skill Ripjaws V 64 GB,459.0,"[4, 3600]","[4, 16]",7.172,8.889,16.0,2,64
Corsair Dominator Platinum RGB 32 GB,174.99,"[5, 6400]","[2, 16]",5.468,11.875,38.0,2,32
Corsair Dominator Platinum RGB 64 GB,294.99,"[5, 5600]","[4, 16]",4.609,12.857,36.0,2,64
Kingston FURY Renegade 32 GB,119.0,"[4, 3600]","[4, 8]",3.719,8.889,16.0,2,32
Kingston FURY Beast RGB 8 GB,48.62,"[5, 5600]","[1, 8]",6.077,14.286,40.0,2,8
G.Skill Trident Z5 64 GB,214.99,"[5, 6000]","[2, 32]",3.359,10.667,32.0,2,64
Kingston FURY Beast 64 GB,167.16,"[4, 3600]","[2, 32]",2.612,10.0,18.0,2,64
TEAMGROUP T-Force Delta RGB 32 GB,84.99,"[4, 4000]","[2, 16]",2.656,9.0,18.0,2,32
Corsair Vengeance RGB Pro 16 GB,74.99,"[4, 3600]","[2, 8]",4.687,10.0,18.0,2,16
Corsair Vengeance RGB Pro 16 GB,64.98,"[4, 3000]","[2, 8]",4.061,10.0,15.0,2,16
OLOy WarHawk RGB 16 GB,49.99,"[4, 3600]","[2, 8]",3.124,10.0,18.0,2,16
TEAMGROUP T-Force Dark Za 32 GB,72.98,"[4, 3600]","[2, 16]",2.281,10.0,18.0,2,32
Crucial CT2K16G4SFRA32A 32 GB,56.99,"[4, 3200]","[2, 16]",1.781,13.75,22.0,2,32
TEAMGROUP T-Force Xtreem ARGB 16 GB,79.98,"[4, 3600]","[2, 8]",4.999,7.778,14.0,2,16
G.Skill Trident Z5 RGB 64 GB,224.99,"[5, 6000]","[2, 32]",3.515,10.667,32.0,2,64
Patriot Viper Elite II 8 GB,19.98,"[4, 3600]","[1, 8]",2.498,11.111,20.0,2,8
TEAMGROUP T-Force Xtreem ARGB 32 GB,84.99,"[4, 3600]","[2, 16]",2.656,10.0,18.0,2,32
Patriot Viper Elite II 16 GB,33.99,"[4, 2666]","[2, 8]",2.124,12.003,16.0,2,16
Kingston FURY Renegade 16 GB,129.28,"[4, 4800]","[2, 8]",8.08,7.917,19.0,2,16
Patriot Viper 4 Blackout 32 GB,62.99,"[4, 3200]","[2, 16]",1.968,10.0,16.0,2,32
G.Skill Ripjaws V 8 GB,24.99,"[4, 2133]","[2, 4]",3.124,14.065,15.0,2,8
TEAMGROUP Elite 8 GB,19.98,"[5, 4800]","[1, 8]",2.498,16.667,40.0,2,8
Neo Forza MARS 64 GB,116.99,"[4, 4000]","[2, 32]",1.828,9.5,19.0,2,64
Corsair Vengeance LPX 64 GB,139.99,"[4, 3000]","[4, 16]",2.187,10.667,16.0,2,64
Corsair Vengeance RGB Pro 32 GB,94.99,"[4, 2666]","[2, 16]",2.968,12.003,16.0,2,32
GeIL Polaris 32 GB,82.99,"[5, 5200]","[2, 16]",2.593,13.077,34.0,2,32
Corsair Vengeance RGB 64 GB,199.99,"[5, 5200]","[2, 32]",3.125,15.385,40.0,2,64
Patriot Signature Premium 16 GB,28.99,"[4, 2666]","[1, 16]",1.812,14.254,19.0,2,16
Kingston ValueRAM 8 GB,24.34,"[4, 3200]","[1, 8]",3.042,13.75,22.0,2,8
G.Skill Ripjaws V 128 GB,524.59,"[4, 4000]","[4, 32]",4.098,9.0,18.0,2,128
G.Skill Ripjaws S5 32 GB,94.99,"[5, 5600]","[2, 16]",2.968,12.857,36.0,2,32
G.Skill Flare X 16 GB,39.99,"[4, 3200]","[2, 8]",2.499,10.0,16.0,2,16
Kingston FURY Beast 64 GB,149.99,"[4, 3200]","[4, 16]",2.344,10.0,16.0,2,64
G.Skill Ripjaws V 16 GB,40.99,"[4, 3000]","[2, 8]",2.562,10.667,16.0,2,16
Corsair Vengeance RGB Pro 256 GB,749.99,"[4, 3200]","[8, 32]",2.93,10.0,16.0,2,256
G.Skill Trident Z Neo 128 GB,1201.06,"[4, 3600]","[8, 16]",9.383,7.778,14.0,2,128
Kingston ValueRAM 8 GB,26.67,"[4, 2400]","[1, 8]",3.334,14.167,17.0,2,8
Mushkin Redline Lumina 32 GB,94.28,"[4, 3600]","[2, 16]",2.946,8.889,16.0,2,32
Corsair Dominator Platinum RGB 32 GB,164.99,"[5, 6000]","[2, 16]",5.156,12.0,36.0,2,32
Kingston FURY Beast RGB 32 GB,79.99,"[4, 3200]","[2, 16]",2.5,10.0,16.0,2,32
Kingston Renegade Silver 16 GB,96.29,"[5, 6400]","[1, 16]",6.018,10.0,32.0,2,16
Corsair Vengeance LPX 16 GB,44.99,"[4, 2666]","[2, 8]",2.812,12.003,16.0,2,16
G.Skill Value 8 GB,20.4,"[4, 2666]","[1, 8]",2.55,14.254,19.0,2,8
PNY XLR8 Gaming EPIC-X RGB 8 GB,24.99,"[4, 3200]","[1, 8]",3.124,10.0,16.0,2,8
Kingston Server Premier 32 GB,246.95,"[4, 3200]","[1, 32]",7.717,13.75,22.0,2,32
TEAMGROUP T-Force Delta RGB 32 GB,199.99,"[4, 3600]","[2, 16]",6.25,7.778,14.0,2,32
Mushkin Enhanced Redline 64 GB,197.99,"[5, 5600]","[2, 32]",3.094,10.0,28.0,2,64
Corsair Vengeance 16 GB,69.98,"[5, 4800]","[2, 8]",4.374,16.667,40.0,2,16
Corsair Vengeance RGB 48 GB,169.99,"[5, 6000]","[2, 24]",3.541,12.0,36.0,2,48
Kingston FURY Beast 8 GB,41.51,"[5, 4800]","[1, 8]",5.189,15.833,38.0,2,8
Corsair Dominator Platinum RGB 16 GB,84.99,"[4, 3200]","[2, 8]",5.312,10.0,16.0,2,16
G.Skill Trident Z RGB 64 GB,499.74,"[4, 3600]","[4, 16]",7.808,7.778,14.0,2,64
Corsair Dominator Platinum RGB 32 GB,154.99,"[4, 4000]","[2, 16]",4.843,9.0,18.0,2,32
Lexar Ares RGB 16 GB,54.99,"[4, 4000]","[2, 8]",3.437,9.0,18.0,2,16
TEAMGROUP T-Force Zeus 32 GB,50.99,"[4, 3200]","[2, 16]",1.593,10.0,16.0,2,32
Mushkin Redline Lumina 16 GB,59.87,"[4, 3600]","[2, 8]",3.742,7.778,14.0,2,16
G.Skill Trident Z5 32 GB,97.99,"[5, 5600]","[2, 16]",3.062,12.857,36.0,2,32
ADATA XPG LANCER RGB 16 GB,98.0,"[5, 6000]","[1, 16]",6.125,13.333,40.0,2,16
Kingston FURY Renegade 16 GB,55.2,"[4, 3200]","[2, 8]",3.45,10.0,16.0,2,16
G.Skill Ripjaws V 16 GB,74.99,"[4, 4400]","[2, 8]",4.687,8.182,18.0,2,16
Corsair Vengeance RGB Pro 64 GB,564.79,"[4, 4000]","[2, 32]",8.825,9.0,18.0,2,64
G.Skill Zeta R5 128 GB,1099.99,"[5, 6400]","[8, 16]",8.594,10.0,32.0,2,128
Mushkin Redline Lumina 64 GB,167.99,"[4, 3600]","[2, 32]",2.625,8.889,16.0,2,64
Corsair Vengeance 64 GB,154.99,"[5, 4800]","[2, 32]",2.422,16.667,40.0,2,64
TEAMGROUP T-Create Classic 32 GB,45.99,"[4, 3200]","[2, 16]",1.437,13.75,22.0,2,32
Crucial CT32G52C42U5 32 GB,94.99,"[5, 5200]","[1, 32]",2.968,16.154,42.0,2,32
Corsair Vengeance LPX 16 GB,39.99,"[4, 2400]","[1, 16]",2.499,11.667,14.0,2,16
Corsair Vengeance LPX 128 GB,349.99,"[4, 3200]","[8, 16]",2.734,10.0,16.0,2,128
Corsair Dominator Platinum RGB 64 GB,274.99,"[4, 3600]","[4, 16]",4.297,8.889,16.0,2,64
ADATA Premier 16 GB,43.98,"[5, 4800]","[1, 16]",2.749,16.667,40.0,2,16
PNY XLR8 16 GB,39.99,"[4, 2666]","[2, 8]",2.499,12.003,16.0,2,16
