name,price,speed,modules,price_per_gb,first_word_latency,cas_latency,planks,size
Patriot Viper Steel 32 GB,64.98,"[4, 3600]","[2, 16]",2.031,10.0,18.0,2,32
Kingston FURY Renegade 64 GB,272.19,"[5, 6000]","[2, 32]",4.253,10.667,32.0,2,64
Mushkin Enhanced Redline Stiletto 32 GB,65.99,"[4, 3600]","[2, 16]",2.062,8.889,16.0,2,32
Patriot Viper Black 32 GB,94.99,"[5, 6000]","[2, 16]",2.968,12.0,36.0,2,32
TEAMGROUP T-Force Delta RGB 32 GB,143.99,"[5, 7200]","[2, 16]",4.5,9.444,34.0,2,32
Corsair Vengeance RGB RS 32 GB,79.98,"[4, 3200]","[2, 16]",2.499,10.0,16.0,2,32
Corsair Vengeance RGB RT 32 GB,79.98,"[4, 3600]","[2, 16]",2.499,10.0,18.0,2,32
Corsair Vengeance LPX 32 GB,94.99,"[4, 3200]","[4, 8]",2.968,10.0,16.0,2,32
Corsair Dominator Platinum RGB 32 GB,169.99,"[5, 6400]","[2, 16]",5.312,10.0,32.0,2,32
G.Skill Trident Z RGB 128 GB,488.99,"[4, 4000]","[4, 32]",3.82,9.0,18.0,2,128
Corsair Vengeance 64 GB,229.99,"[5, 6000]","[2, 32]",3.594,10.0,30.0,2,64
Samsung M378A2K43CB1-CTD 16 GB,54.98,"[4, 2666]","[1, 16]",3.436,14.254,19.0,2,16
TEAMGROUP T-Force Vulcan alpha 32 GB,80.98,"[5, 6000]","[2, 16]",2.531,12.667,38.0,2,32
G.Skill Ripjaws S5 32 GB,97.99,"[5, 5600]","[2, 16]",3.062,10.714,30.0,2,32
Corsair Vengeance RGB 64 GB,204.99,"[5, 5600]","[2, 32]",3.203,12.857,36.0,2,64
G.Skill Trident Z RGB 32 GB,79.98,"[4, 3200]","[2, 16]",2.499,10.0,16.0,2,32
G.Skill Flare X 16 GB,69.99,"[4, 3200]","[2, 8]",4.374,8.75,14.0,2,16
TEAMGROUP T-Create Expert 32 GB,89.99,"[5, 6400]","[2, 16]",2.812,12.5,40.0,2,32
Silicon Power XPOWER Turbine RGB 32 GB,56.99,"[4, 3200]","[2, 16]",1.781,10.0,16.0,2,32
Kingston ValueRAM 8 GB,23.79,"[4, 2666]","[1, 8]",2.974,14.254,19.0,2,8
ADATA XPG SPECTRIX D50 32 GB,79.98,"[4, 3200]","[2, 16]",2.499,10.0,16.0,2,32
Crucial Ballistix 16 GB,89.99,"[4, 3200]","[2, 8]",5.624,10.0,16.0,2,16
Kingston FURY Beast RGB 32 GB,95.99,"[4, 3600]","[2, 16]",3.0,10.0,18.0,2,32
TEAMGROUP T-Force Vulcan TUF Gaming Alliance 16 GB,33.99,"[4, 3200]","[2, 8]",2.124,10.0,16.0,2,16
Corsair Vengeance 16 GB,54.99,"[5, 5200]","[1, 16]",3.437,15.385,40.0,2,16
Corsair Dominator Platinum RGB 64 GB,354.99,"[5, 6400]","[4, 16]",5.547,10.0,32.0,2,64
G.Skill Trident Z Neo 32 GB,129.99,"[4, 3600]","[4, 8]",4.062,10.0,18.0,2,32
G.Skill F5-5600J2834F32GX2-TZ5RK 64 GB,209.99,"[5, 5600]","[2, 32]",3.281,10.0,28.0,2,64
G.Skill Trident Z Royal 32 GB,115.99,"[4, 4000]","[2, 16]",3.625,9.0,18.0,2,32
Corsair Vengeance 32 GB,104.99,"[5, 5200]","[2, 16]",3.281,15.385,40.0,2,32
Kingston FURY Beast 64 GB,208.35,"[5, 4800]","[2, 32]",3.255,15.833,38.0,2,64
G.Skill Trident Z 32 GB,124.99,"[5, 6400]","[2, 16]",3.906,10.0,32.0,2,32
Corsair Dominator Platinum RGB 16 GB,54.99,"[4, 3200]","[2, 8]",3.437,10.0,16.0,2,16
Kingston FURY Beast 32 GB,115.7,"[5, 4800]","[2, 16]",3.616,15.833,38.0,2,32
Kingston Fury Renegade RGB 32 GB,154.99,"[5, 6000]","[2, 16]",4.843,10.667,32.0,2,32
G.Skill Trident Z5 32 GB,102.99,"[5, 6000]","[2, 16]",3.218,12.0,36.0,2,32
Patriot Viper Steel 8 GB,21.99,"[4, 3200]","[2, 4]",2.749,10.0,16.0,2,8
ADATA XPG GAMMIX D20 32 GB,62.99,"[4, 3200]","[2, 16]",1.968,10.0,16.0,2,32
Kingston FURY Beast 32 GB,79.99,"[4, 3600]","[2, 16]",2.5,10.0,18.0,2,32
Corsair Vengeance LPX 16 GB,49.99,"[4, 3600]","[2, 8]",3.124,10.0,18.0,2,16
G.Skill Trident Z5 RGB 32 GB,135.99,"[5, 6600]","[2, 16]",4.25,10.303,34.0,2,32
Kingston KSM29RD4/64HAR 64 GB,955.66,"[4, 2933]","[1, 64]",14.932,14.32,21.0,2,64
Patriot Viper Steel 8 GB,20.99,"[4, 3200]","[1, 8]",2.624,10.0,16.0,2,8
