name,price,type,efficiency,wattage,modular
FSP Group Hyper M85+,86.14,ATX,bronze,650,Semi
Deepcool PX-G,239.99,ATX,gold,1200,Full
SeaSonic Prime Fanless PX-450,263.0,ATX,platinum,450,Full
Silverstone Strider,99.99,ATX,bronze,700,Full
SHARKOON SilentStorm,145.38,SFX,gold,500,Full
EVGA SuperNOVA 750 P6,184.38,ATX,platinum,750,Full
Xilence XP1050MR9,210.89,ATX,gold,1050,Full
Deepcool PM650D,108.28,ATX,gold,650,False
PC Power & Cooling Silencer,191.11,ATX,platinum,1050,Full
be quiet! Pure Power 10,150.0,ATX,silver,600,False
EVGA SuperNOVA 650 P6,159.99,ATX,platinum,650,Full
Silverstone Strider Platinum,143.99,ATX,platinum,750,Full
Enermax Platimax D.F.,199.99,ATX,platinum,1050,Full
ARESGAME AGS,90.99,ATX,gold,850,Semi
Fractal Design Anode Bronze,139.49,ATX,bronze,650,Semi
FSP Group Dagger Pro,159.99,SFX,gold,750,Full
SeaSonic PRIME Ultra Platinum 750,197.98,ATX,platinum,750,Full
LEPA MaxBron,93.68,ATX,bronze,1000,Semi
Corsair TX650,299.99,ATX,plus,650,False
Corsair HX1000,499.99,ATX,plus,1000,Semi
be quiet! Dark Power Pro 11,139.9,ATX,platinum,550,Semi
Cooler Master V1200,306.89,ATX,platinum,1200,Full
Silverstone Strider,114.99,ATX,gold,550,Full
Super Flower Leadex Titanium,239.99,ATX,titanium,850,Full
ADATA XPG CYBERCORE,229.99,ATX,platinum,1000,Full
be quiet! Dark Power Pro 11,159.9,ATX,platinum,650,Semi
SeaSonic Prime Fanless PX-500,290.0,ATX,platinum,500,Full
EVGA 610 BP,119.0,ATX,bronze,610,False
Silverstone TX700-G,184.75,TFX,gold,700,False
SHARKOON SilentStorm Cool Zero 850,257.0,ATX,gold,850,Full
Super Flower Leadex III Gold,104.99,ATX,gold,550,Full
PC Power & Cooling PM0600,99.99,ATX,bronze,600,Semi
be quiet! Straight Power 11 450W,307.17,ATX,gold,450,Full
Corsair TX850,499.99,ATX,plus,850,False
Antec Signature Platinum,284.99,ATX,platinum,1300,Full
NOX Hummer,85.14,ATX,bronze,650,Semi
Corsair CX430M,195.29,ATX,bronze,430,Semi
Thermaltake TOUGHPOWER PF1 ARGB,299.99,ATX,platinum,850,Full
Thermaltake Toughpower GF2 ARGB,158.99,ATX,gold,750,Full
Corsair CS450M,174.95,ATX,gold,450,Semi
Silverstone NJ700,315.52,ATX,titanium,700,Full
Corsair HX750,499.99,ATX,gold,750,Semi
Corsair RM550,299.99,ATX,gold,550,Full
Corsair TX850M,499.99,ATX,bronze,850,Semi
EVGA 710 BP,138.5,ATX,bronze,710,False
Antec EARTHWATTS GOLD PRO 750,180.63,ATX,gold,750,Semi
Antec VP PLUS,146.52,ATX,plus,650,False
Cooler Master V1300 Platinum,445.9,ATX,platinum,1300,Full
SeaSonic PRIME Ultra Gold 1000,379.99,ATX,gold,1000,Full
SeaSonic PRIME Ultra Gold 850,194.98,ATX,gold,850,Full
Corsair GS700,279.99,ATX,bronze,700,False
Silverstone TX300,63.29,TFX,bronze,300,False
Thermaltake Toughpower iRGB PLUS 750,219.99,ATX,gold,750,Full
Corsair TX750 V2,384.98,ATX,bronze,750,False
Rosewill Glacier 700M,134.99,ATX,bronze,700,Semi
Corsair TX550M,216.59,ATX,bronze,550,Semi
Corsair TX750M,499.99,ATX,bronze,750,Semi
Antec NeoECO,91.49,ATX,bronze,550,Semi
Rosewill HIVE,183.99,ATX,bronze,850,Full
LC-Power LC6560GP3 V2.3 230V,481.0,ATX,silver,560,False
Rosewill CFZ,99.9,ATX,bronze,750,Semi
Thermaltake German,124.0,ATX,plus,630,False
SHARKOON SilentStorm,89.59,SFX,bronze,450,False
Xilence XP750MR9,124.09,ATX,gold,750,Semi
In Win P65,124.0,ATX,gold,650,Full
Enermax Platimax,299.99,ATX,platinum,1350,Full
Cougar BXM850,114.98,ATX,bronze,850,Semi
Cooler Master MWE Gold 750,164.0,ATX,gold,750,False
Corsair VX550,215.63,ATX,plus,550,False
Corsair VS400,371.99,ATX,plus,400,False
Thermaltake Toughpower,263.99,ATX,gold,1200,Semi
Corsair G800,319.92,ATX,plus,800,False
Silverstone Strider,247.9,ATX,silver,1500,False
XFX TS,150.63,ATX,gold,550,False
Super Flower Leadex III Super Pro,139.99,ATX,bronze,850,Full
CoolMax ZX-600,78.18,ATX,plus,600,False
Silverstone Strider Platinum,155.97,ATX,platinum,550,Full
Xilence XP550R9,160.0,ATX,gold,550,False
Thermaltake Smart,196.82,ATX,bronze,750,Semi
Xilence XP1250MR9,253.39,ATX,gold,1250,Full
Cooler Master XG650 Plus,189.99,ATX,platinum,650,Full
EVGA 500 BT,118.4,ATX,bronze,500,False
PC Power & Cooling Silencer,263.89,ATX,platinum,1200,Full
Rosewill LEPTON 600,179.99,ATX,gold,600,Semi
Silverstone Essential,118.9,ATX,gold,750,Semi
Corsair G700,323.99,ATX,plus,700,False
SeaSonic SS-300ES Bronze,104.44,ATX,bronze,300,False
Corsair TX650M,299.99,ATX,bronze,650,Semi
Rosewill PHOTON-550,232.99,ATX,gold,550,Full
Enermax MAXREVO SLI,369.99,ATX,gold,1350,Full
Thermaltake Toughpower GF2 ARGB,139.99,ATX,gold,650,Full
In Win PB,150.0,ATX,gold,750,Full
Antec Basiq,200.0,ATX,plus,550,Semi
Rosewill Glacier 850M,281.39,ATX,bronze,850,Semi
SeaSonic PRIME Ultra Platinum 850,368.42,ATX,platinum,850,Full
SeaSonic SSP-300TBS,72.87,TFX,bronze,300,False
FSP Group FSP500-50FSPT,149.99,Flex ATX,platinum,500,False
CoolMax ZX-700,88.81,ATX,plus,700,False
Corsair TX850 V2,599.99,ATX,bronze,850,False
Athena Power APOLLO 600,196.21,SFX,bronze,600,False
SeaSonic SS-300TFX Bronze,56.83,TFX,bronze,300,False
Enermax MaxTytan,369.99,ATX,titanium,1050,Full
Athena Power AP-MFATX50P8,136.99,Flex ATX,silver,500,False
Athena Power AP-MFATX40P8,117.85,Flex ATX,bronze,400,False
Antec NeoECO V2,91.49,ATX,bronze,550,Semi
Silverstone SFX,73.98,SFX,bronze,300,False
Fractal Design Anode Bronze,194.0,ATX,bronze,550,Semi
Antec Earthwatts Green,108.11,ATX,plus,500,False
Antec True Power,286.81,ATX,bronze,850,Full
Fractal Design Anode Bronze,155.69,ATX,bronze,750,Semi
SeaSonic SS-850HT Silver,169.0,ATX,silver,850,False
Antec High Current Pro,269.0,ATX,platinum,1000,Full
Corsair TX750 V2,384.98,ATX,bronze,750,False
In Win IP-S300FF1-0,62.69,TFX,plus,300,False
SeaSonic SS-600ES,100.0,ATX,bronze,600,False
FSP Group FSP300-60LG-5K,153.74,Flex ATX,bronze,300,False
SeaSonic SS-400ET Bronze,98.0,ATX,bronze,400,False
Rosewill Green,80.0,ATX,plus,430,False
Corsair TX850 V2,599.99,ATX,bronze,850,False
Antec Earthwatts,124.98,ATX,bronze,500,False
Antec High Current Gamer,249.99,ATX,bronze,400,False
SeaSonic Platinum,128.04,ATX,bronze,600,False
FSP Group FSP300-60SGV,79.98,TFX,gold,300,False
