cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Core i7-11700K @ 3.60GHz,297.0,24749,83.33,3429,11.55,125.0,197.99,8,2020,LGA1200,Desktop
AMD Ryzen 7 5700G,233.0,24545,105.34,3281,14.08,65.0,377.62,8,2021,AM4,Desktop
Intel Core i7-11700KF @ 3.60GHz,279.0,24147,86.55,3420,12.26,125.0,193.17,8,2021,LGA1200,Desktop
AMD Ryzen 7 3800XT,391.65,23815,60.81,2845,7.26,105.0,226.81,8,2020,AM4,Desktop
Intel Core i9-11900F @ 2.50GHz,379.99,23814,62.67,3528,9.28,65.0,366.37,8,2021,LGA1200,Desktop
Intel Core i9-10900K @ 3.70GHz,389.97,23768,60.95,3167,8.12,125.0,190.14,10,2020,LGA1200,Desktop
Intel Core i9-10900KF @ 3.70GHz,339.99,23508,69.14,3141,9.24,125.0,188.06,10,2020,LGA1200,Desktop
Intel Core i9-7920X @ 2.90GHz,375.0,23292,62.11,2467,6.58,140.0,166.37,12,2017,LGA2066,Desktop
AMD Ryzen 7 3800X,248.59,23275,93.63,2735,11.0,105.0,221.67,8,2019,AM4,Desktop
Intel Core i9-11900 @ 2.50GHz,347.88,23117,66.45,3443,9.9,65.0,355.65,8,2021,LGA1200,Desktop
Intel Core i9-10850K @ 3.60GHz,408.44,23055,56.45,3091,7.57,125.0,184.44,10,2020,LGA1200,Desktop
AMD Ryzen Threadripper 1920X,299.99,22903,76.35,2300,7.67,180.0,127.24,12,2017,sTR4,Desktop
AMD Ryzen 7 PRO 3700,329.99,22800,69.09,2673,8.1,65.0,350.76,8,2019,AM4,Desktop
Intel Core i9-11900KB @ 3.30GHz,539.0,22769,42.24,3303,6.13,65.0,350.29,8,2021,FCBGA1787,Desktop
AMD Ryzen 7 3700X,367.52,22716,61.81,2680,7.29,65.0,349.48,8,2019,AM4,Desktop
Intel Core i7-12700T,339.0,22688,66.93,3295,9.72,35.0,648.24,8,2022,LGA1700,Desktop
Intel Core i9-10900X @ 3.70GHz,560.0,22683,40.51,2696,4.81,165.0,137.47,10,2019,LGA2066,Desktop
AMD Ryzen 5 5600X,216.99,22088,101.79,3377,15.56,65.0,339.82,6,2020,AM4,Desktop
Intel Core i9-9900X @ 3.50GHz,654.99,21868,33.39,2604,3.98,165.0,132.54,10,2018,LGA2066,Desktop
Intel Core i7-11700F @ 2.50GHz,289.99,21447,73.96,3339,11.51,65.0,329.95,8,2021,LGA1200,Desktop
Intel Core i5-12600,238.97,21368,89.42,3883,16.25,65.0,328.73,6,2022,LGA1700,Desktop
AMD Ryzen 5 5600,189.99,21350,112.37,3208,16.88,65.0,328.46,6,2022,AM4,Desktop
Intel Core i9-7900X @ 3.30GHz,269.98,21310,78.93,2594,9.61,140.0,152.21,10,2017,LGA2066,Desktop
Intel Core i9-10900F @ 2.80GHz,350.0,20881,59.66,3070,8.77,65.0,321.25,10,2020,LGA1200,Desktop
Intel Core i7-11700 @ 2.50GHz,316.99,20588,64.95,3146,9.92,95.0,216.72,8,2021,LGA1200,Desktop
AMD Ryzen 7 PRO 4750G,299.99,20570,68.57,2710,9.03,65.0,316.46,8,2020,AM4,Desktop
Intel Core i9-10900 @ 2.80GHz,389.97,20446,52.43,3057,7.84,65.0,314.55,10,2020,LGA1200,Desktop
Intel Core i5-12500,202.0,20309,100.54,3759,18.61,65.0,312.45,6,2022,LGA1700,Desktop
Intel Core i9-11900T @ 1.50GHz,439.0,20225,46.07,3419,7.79,35.0,577.86,8,2021,LGA1200,Desktop
AMD Ryzen 7 4700G,319.0,20138,63.13,2758,8.65,65.0,309.82,8,2020,AM4,Desktop
AMD Ryzen 5 5500,159.0,19949,125.46,3096,19.47,65.0,306.9,6,2022,AM4,Desktop
AMD Ryzen 5 5600G,179.97,19830,110.19,3187,17.71,65.0,305.08,6,2021,AM4,Desktop
Intel Core i5-11600K @ 3.90GHz,209.99,19781,94.2,3374,16.07,125.0,158.25,6,2021,LGA1200,Desktop
Intel Core i5-11600KF @ 3.90GHz,232.49,19742,84.91,3359,14.45,125.0,157.93,6,2021,LGA1200,Desktop
Intel Core i5-12400F,174.98,19659,112.35,3567,20.39,65.0,302.44,6,2022,LGA1700,Desktop
Intel Core i5-12400,192.0,19571,101.93,3532,18.4,65.0,301.09,6,2022,LGA1700,Desktop
Intel Core i9-9900KS @ 4.00GHz,898.3,19518,21.73,3039,3.38,127.0,153.69,8,2019,LGA1151,Desktop
Intel Core i7-10700K @ 3.80GHz,328.98,19277,58.6,3074,9.34,125.0,154.22,8,2020,LGA1200,Desktop
Intel Core i7-10700KF @ 3.80GHz,309.99,19143,61.75,3056,9.86,125.0,153.14,8,2020,LGA1200,Desktop
AMD Ryzen 5 3600XT,327.52,18780,57.34,2794,8.53,95.0,197.69,6,2020,AM4,Desktop
Intel Core i9-9900K @ 3.60GHz,622.0,18716,30.09,2960,4.76,95.0,197.02,8,2018,LGA1151,Desktop
Intel Core i9-9900KF @ 3.60GHz,502.13,18691,37.22,2968,5.91,95.0,196.75,8,2019,LGA1151,Desktop
Intel Core i5-11600 @ 2.80GHz,216.41,18318,84.64,3302,15.26,65.0,281.81,6,2021,LGA1200,Desktop
Intel Core i9-9820X @ 3.30GHz,685.0,18288,26.7,2406,3.51,165.0,110.84,10,2018,LGA2066,Desktop
AMD Ryzen 5 3600X,209.99,18285,87.08,2670,12.71,95.0,192.47,6,2019,AM4,Desktop
Intel Core i7-9800X @ 3.80GHz,650.0,18240,28.06,2595,3.99,165.0,110.54,8,2018,LGA2066,Desktop
AMD Ryzen 5 3600,153.49,17822,116.11,2576,16.78,65.0,274.18,6,2019,AM4,Desktop
Intel Core i5-12500T,202.0,17728,87.76,3618,17.91,35.0,506.53,6,2022,LGA1700,Desktop
Intel Core i5-11500 @ 2.70GHz,197.19,17626,89.38,3153,15.99,65.0,271.17,6,2021,LGA1200,Desktop
AMD Ryzen 7 2700X,212.98,17578,82.54,2436,11.44,105.0,167.41,8,2018,AM4,Desktop
Intel Core i7-7820X @ 3.60GHz,709.0,17283,24.38,2539,3.58,140.0,123.45,8,2017,LGA2066,Desktop
Intel Core i5-11400F @ 2.60GHz,149.99,17213,114.76,3023,20.15,65.0,264.82,6,2021,LGA1200,Desktop
Intel Core i5-11400 @ 2.60GHz,174.21,17132,98.34,3048,17.5,65.0,263.57,6,2021,LGA1200,Desktop
Intel Core i7-10700F @ 2.90GHz,249.99,16973,67.89,2919,11.67,65.0,261.12,8,2020,LGA1200,Desktop
