cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Pentium Gold G6500T @ 3.50GHz,75.0,4005,53.4,2277,30.36,35.0,114.42,2,2021,LGA1200,Desktop
Intel Core i3-7101TE @ 3.40GHz,117.0,3911,33.43,1997,17.07,35.0,111.75,2,2017,LGA1151,Desktop
AMD PRO A12-9800,169.0,3878,22.95,1775,10.5,65.0,59.66,4,2017,AM4,Desktop
Intel Core i3-7100T @ 3.40GHz,149.88,3787,25.27,2007,13.39,35.0,108.2,2,2017,LGA1151,Desktop
Intel Pentium G4620 @ 3.70GHz,146.0,3777,25.87,2268,15.53,51.0,74.06,2,2017,LGA1151,Desktop
Intel Pentium Gold G5500 @ 3.80GHz,169.87,3770,22.2,2258,13.29,54.0,69.82,2,2018,LGA1151,Desktop
Intel Pentium Gold G5600 @ 3.90GHz,158.0,3769,23.85,2291,14.5,54.0,69.79,2,2018,LGA1151,Desktop
Intel Pentium Gold G6405T @ 3.50GHz,64.0,3746,58.54,2206,34.47,35.0,107.04,2,2021,LGA1200,Desktop
Intel Pentium Gold G5400 @ 3.70GHz,112.88,3723,32.98,2224,19.71,54.0,68.94,2,2018,LGA1151,Desktop
Intel Pentium Gold G5420 @ 3.80GHz,129.55,3641,28.11,2286,17.65,54.0,67.43,2,2019,LGA1151,Desktop
AMD Athlon X4 950,35.99,3611,100.32,1663,46.2,65.0,55.55,4,2017,AM4,Desktop
Intel Pentium Gold G6400T @ 3.40GHz,64.0,3610,56.4,2140,33.44,35.0,103.14,2,2021,LGA1200,Desktop
Intel Pentium G4600 @ 3.60GHz,104.94,3605,34.36,2186,20.83,51.0,70.69,2,2017,LGA1151,Desktop
Intel Pentium G4560 @ 3.50GHz,168.0,3513,20.91,2103,12.52,54.0,65.06,2,2017,LGA1151,Desktop
Intel Pentium Gold G5420T @ 3.20GHz,64.0,3508,54.82,1978,30.9,35.0,100.24,2,2019,LGA1151,Desktop
AMD A12-9800E,371.05,3447,9.29,1604,4.32,35.0,98.49,4,2017,AM4,Desktop
Intel Celeron G6900,49.99,3446,68.93,2587,51.76,46.0,74.91,2,2022,"LGA1700,BGA1700",Desktop
Intel Core i3-4370T @ 3.30GHz,138.0,3368,24.41,1914,13.87,35.0,96.23,2,2017,LGA1150,Desktop
AMD A8-9600,98.99,3291,33.24,1486,15.02,65.0,50.62,4,2017,AM4,Desktop
Intel Pentium Gold G5500T @ 3.20GHz,75.0,3234,43.13,1964,26.18,35.0,92.41,2,2018,LGA1151,Desktop
AMD PRO A12-9800E,169.0,3182,18.83,1551,9.18,35.0,90.92,4,2017,AM4,Desktop
Intel Pentium G4600T @ 3.00GHz,117.99,3130,26.53,1843,15.62,35.0,89.43,2,2017,LGA1151,Desktop
Intel Pentium Silver J5005 @ 1.50GHz,521.99,3040,5.82,1206,2.31,10.0,304,4,2017,FCBGA1090,Desktop
AMD A10-9700E,92.99,2947,31.7,1413,15.2,35.0,84.21,4,2017,AM4,Desktop
Intel Celeron G5925 @ 3.60GHz,53.93,2939,54.49,2282,42.32,58.0,50.67,2,2021,LGA1200,Desktop
Intel Celeron J4105 @ 1.50GHz,107.0,2911,27.21,1097,10.25,10.0,291.14,4,2018,FCBGA1090,Desktop
Intel Pentium G4560T @ 2.90GHz,231.9,2909,12.54,1708,7.36,35.0,83.11,2,2017,LGA1151,Desktop
AMD Athlon X4 830,202.32,2901,14.34,1292,6.39,65.0,44.63,2,2018,FM2+,Desktop
Intel Celeron G5905 @ 3.50GHz,47.19,2815,59.64,2189,46.39,58.0,48.53,2,2020,LGA1200,Desktop
Intel Celeron G5900 @ 3.40GHz,53.99,2790,51.68,2150,39.82,58.0,48.1,2,2020,LGA1200,Desktop
Intel Celeron G4950 @ 3.30GHz,1008.66,2714,2.69,2041,2.02,54.0,50.26,2,2021,LGA1151,Desktop
Intel Celeron G5900T @ 3.20GHz,42.0,2648,63.04,2041,48.6,35.0,75.64,2,2021,LGA1200,Desktop
Intel Celeron G4930 @ 3.20GHz,107.41,2571,23.94,1999,18.61,54.0,47.61,2,2019,LGA1151,Desktop
Intel Celeron G5920 @ 3.50GHz,61.99,2482,40.04,2151,34.7,58.0,42.79,2,2020,LGA1200,Desktop
Intel Celeron G4900 @ 3.10GHz,105.95,2448,23.11,1914,18.06,54.0,45.34,2,2018,LGA1151,Desktop
Intel Celeron G4920 @ 3.20GHz,212.73,2406,11.31,1965,9.24,54.0,44.56,2,2018,LGA1151,Desktop
Intel Celeron G4900T @ 2.90GHz,77.95,2403,30.82,1789,22.96,35.0,68.65,2,2018,LGA1151,Desktop
Intel Celeron G3950 @ 3.00GHz,143.0,2369,16.56,1811,12.66,51.0,46.45,2,2017,LGA1151,Desktop
Intel Celeron G5905T @ 3.30GHz,42.0,2310,55.01,1996,47.52,35.0,66.01,2,2021,LGA1200,Desktop
Intel Celeron G3930 @ 2.90GHz,179.88,2270,12.62,1794,9.97,51.0,44.51,2,2017,LGA1151,Desktop
Intel Celeron G3930TE @ 2.70GHz,42.0,2218,52.82,1706,40.61,35.0,63.38,2,2019,LGA1151,Desktop
Intel Celeron G4930T @ 3.00GHz,42.0,2209,52.6,1742,41.48,35.0,63.12,2,2020,LGA1151,Desktop
Intel Celeron G3930T @ 2.70GHz,97.17,2109,21.7,1650,16.98,35.0,60.26,2,2018,LGA1151,Desktop
AMD A6-7480,37.42,1931,51.61,1638,43.77,65.0,29.71,2,2019,FM2+,Desktop
AMD PRO A6-9500,74.0,1875,25.34,1618,21.87,65.0,28.85,2,2017,AM4,Desktop
AMD A6-9500E,74.45,1841,24.72,1478,19.85,35.0,52.59,2,2018,AM4,Desktop
AMD PRO A6-9500E,74.0,1662,22.46,1493,20.18,35.0,47.5,2,2017,AM4,Desktop
Intel Celeron J4005 @ 2.00GHz,168.75,1581,9.37,1119,6.63,10.0,158.14,2,2018,FCBGA1090,Desktop
AMD Sempron 240,36.1,1278,35.39,1300,36.02,65.0,19.66,2,2018,FM2,Desktop
