name,price,socket,form_factor,max_memory,memory_slots
Asus PRIME B550-PLUS,129.99,AM4,ATX,128,4
Gigabyte B760M AORUS ELITE AX,119.99,LGA1700,Micro ATX,128,4
Gigabyte B760 AORUS ELITE AX,159.99,LGA1700,ATX,128,4
Asus ROG STRIX B650E-I GAMING WIFI,324.99,AM5,Mini ITX,64,2
MSI PRO X670-P WIFI,229.95,AM5,ATX,128,4
Asus PRIME B660-PLUS D4,179.94,LGA1700,ATX,128,4
Gigabyte A520M S2H,74.98,AM4,Micro ATX,64,2
Asus PRIME Z790-P WIFI,222.98,LGA1700,ATX,128,4
MSI MPG B650 EDGE WIFI,239.99,AM5,ATX,128,4
Gigabyte B550M K,79.98,AM4,Micro ATX,128,4
ASRock B550M-HDV,79.98,AM4,Micro ATX,64,2
MSI MPG X670E CARBON WIFI,439.99,AM5,ATX,128,4
ASRock Z790 PG LIGHTNING,179.99,LGA1700,ATX,128,4
Gigabyte B550 AORUS ELITE V2,163.43,AM4,ATX,128,4
Asus ROG STRIX B760-A GAMING WIFI D4,218.99,LGA1700,ATX,128,4
Asus PRIME A320M-K,96.78,AM4,Micro ATX,32,2
Asus TUF GAMING X670E-PLUS WIFI,301.2,AM5,ATX,128,4
Asus PRIME B660M-A WIFI D4,164.37,LGA1700,Micro ATX,128,4
Asus ROG STRIX B450-F GAMING,279.0,AM4,ATX,64,4
ASRock B550 Phantom Gaming 4,84.99,AM4,ATX,128,4
MSI PRO Z790-A WIFI,219.99,LGA1700,ATX,128,4
NZXT N7 B550,249.99,AM4,ATX,128,4
ASRock B550 Phantom Gaming-ITX/ax,191.25,AM4,Mini ITX,64,2
MSI MAG B650M MORTAR WIFI,199.95,AM5,Micro ATX,128,4
NZXT N7 B650E,316.99,AM5,ATX,128,4
ASRock B550M Steel Legend,129.99,AM4,Micro ATX,128,4
Gigabyte B650M K,119.99,AM5,Micro ATX,128,4
Asus ROG STRIX X670E-I GAMING WIFI,429.99,AM5,Mini ITX,64,2
MSI B450I GAMING PLUS MAX WIFI,149.99,AM4,Mini ITX,64,2
ASRock B550 Pro4,114.99,AM4,ATX,128,4
ASRock B550M PG RIPTIDE,89.99,AM4,Micro ATX,128,4
Asus ROG STRIX Z790-A GAMING WIFI,349.99,LGA1700,ATX,128,4
Asus ROG CROSSHAIR X670E HERO,656.53,AM5,ATX,128,4
MSI MAG B760 TOMAHAWK WIFI,199.99,LGA1700,ATX,128,4
ASRock B450M Pro4,139.99,AM4,Micro ATX,128,4
ASRock X670E Steel Legend,299.99,AM5,ATX,128,4
MSI MAG X570S TOMAHAWK MAX WIFI,279.5,AM4,ATX,128,4
MSI MPG X570S EDGE MAX WIFI,199.99,AM4,ATX,128,4
Asus ROG STRIX X670E-A GAMING WIFI,385.99,AM5,ATX,128,4
Asus TUF GAMING Z690-PLUS WIFI D4,274.99,LGA1700,ATX,128,4
MSI MAG Z690 TOMAHAWK WIFI,217.0,LGA1700,ATX,128,4
MSI B760 GAMING PLUS WIFI,159.99,LGA1700,ATX,192,4
Asus PRIME B650-PLUS,190.99,AM5,ATX,128,4
ASRock A520M-ITX/ac,136.6,AM4,Mini ITX,64,2
MSI MEG Z790 GODLIKE,1199.99,LGA1700,EATX,128,4
ASRock A620M Pro RS WiFi,124.99,AM5,Micro ATX,128,4
MSI PRO Z690-P DDR4,158.69,LGA1700,ATX,128,4
Gigabyte Z690 AORUS ELITE AX,169.99,LGA1700,ATX,128,4
Asus PRIME A520M-A II/CSM,79.99,AM4,Micro ATX,128,4
MSI MPG Z790 CARBON WIFI,399.99,LGA1700,ATX,128,4
Asus ROG Crosshair VIII Dark Hero,395.0,AM4,ATX,128,4
MSI MPG Z690 EDGE WIFI DDR4,269.99,LGA1700,ATX,128,4
ASRock B450M Steel Legend,109.0,AM4,Micro ATX,64,4
Asus PRIME Z390-A,323.0,LGA1151,ATX,128,4
MSI PRO H610M-B DDR4,109.98,LGA1700,Micro ATX,64,2
Gigabyte B450 AORUS ELITE V2,128.48,AM4,ATX,128,4
ASRock B760M Steel Legend WiFi,169.99,LGA1700,Micro ATX,128,4
Asus PRIME X670E-PRO WIFI,334.99,AM5,ATX,128,4
MSI MAG B760 TOMAHAWK WIFI DDR4,189.99,LGA1700,ATX,128,4
Asus ROG CROSSHAIR X670E EXTREME,999.99,AM5,EATX,128,4
Asus ROG STRIX X670E-F GAMING WIFI,419.99,AM5,ATX,128,4
Asus PRIME B760-PLUS D4,143.99,LGA1700,ATX,128,4
ASRock B660 Steel Legend,119.99,LGA1700,ATX,128,4
MSI MPG Z790I EDGE WIFI,350.99,LGA1700,Mini ITX,64,2
ASRock H470M-HDV/M.2,86.82,LGA1200,Micro ATX,64,2
NZXT N7 Z790,299.99,LGA1700,ATX,128,4
MSI MEG X570 UNIFY,245.99,AM4,ATX,128,4
Gigabyte Z790 UD AX,179.99,LGA1700,ATX,128,4
Gigabyte B660M AORUS Pro AX DDR4,109.99,LGA1700,Micro ATX,128,4
ASRock B650M Pro RS,139.99,AM5,Micro ATX,128,4
MSI MPG B560I GAMING EDGE WIFI,169.99,LGA1200,Mini ITX,64,2
MSI PRO Z690-A WIFI,198.0,LGA1700,ATX,128,4
Asus ProArt X670E-CREATOR WIFI,404.99,AM5,ATX,128,4
MSI MAG Z790 TOMAHAWK WIFI DDR4,244.99,LGA1700,ATX,128,4
MSI PRO A620M-E,84.95,AM5,Micro ATX,64,2
Asus ProArt Z790-CREATOR WIFI,419.99,LGA1700,ATX,128,4
Asus PRIME H510M-K,119.5,LGA1200,Micro ATX,64,2
ASRock Z790M-ITX WIFI,189.99,LGA1700,Mini ITX,64,2
MSI B450M-A PRO MAX,75.99,AM4,Micro ATX,32,2
ASRock B650 PRO RS,203.57,AM5,ATX,128,4
ASRock A520M-HVS,85.2,AM4,Micro ATX,64,2
ASRock B450M/AC,94.01,AM4,Micro ATX,64,4
ASRock B760M PG Riptide,139.99,LGA1700,Micro ATX,128,4
Asus PRIME B450M-K II,99.49,AM4,Micro ATX,64,2
Asus ROG STRIX Z790-H GAMING WIFI,299.99,LGA1700,ATX,128,4
Gigabyte B660M AORUS ELITE AX DDR4,109.99,LGA1700,Micro ATX,128,4
Asus ROG STRIX B660-I GAMING WIFI,259.14,LGA1700,Mini ITX,64,2
Asus ROG Strix X570-I Gaming,371.87,AM4,Mini ITX,64,2
Gigabyte B550 UD AC,109.99,AM4,ATX,128,4
Asus ROG STRIX B660-A GAMING WIFI D4,282.84,LGA1700,ATX,128,4
Asus PRIME H610I-PLUS D4-CSM,109.99,LGA1700,Mini ITX,64,2
Asus TUF GAMING B760M-PLUS WIFI D4,179.99,LGA1700,Micro ATX,128,4
MSI A320M-A PRO,78.81,AM4,Micro ATX,64,2
ASRock Fatal1ty B450 Gaming-ITX/ac,145.63,AM4,Mini ITX,64,2
MSI MPG B760I EDGE WIFI,219.95,LGA1700,Mini ITX,64,2
Asus PRIME Z690-P WIFI,219.99,LGA1700,ATX,128,4
MSI B450 Gaming Plus MAX,155.0,AM4,ATX,128,4
ASRock B650M PG RIPTIDE,169.99,AM5,Micro ATX,128,4
ASRock Z790 PRO RS WIFI,194.99,LGA1700,ATX,128,4
ASRock B650E PG RIPTIDE WIFI,239.99,AM5,ATX,128,4
Gigabyte Z790 GAMING X AX,229.99,LGA1700,ATX,128,4
Asus PRIME Z790-P WIFI D4,229.99,LGA1700,ATX,128,4
Gigabyte B760M GAMING X AX DDR4,149.99,LGA1700,Micro ATX,128,4
Gigabyte B450M DS3H,174.99,AM4,Micro ATX,128,4
Gigabyte Z690 AORUS ELITE AX DDR4,191.13,LGA1700,ATX,128,4
Asus ROG STRIX Z790-I GAMING WIFI,433.84,LGA1700,Mini ITX,96,2
ASRock X670E PG Lightning,259.99,AM5,ATX,128,4
MSI PRO Z790-P WIFI DDR4,219.99,LGA1700,ATX,128,4
ASRock X570 Steel Legend,145.99,AM4,ATX,128,4
Gigabyte X670E AORUS MASTER (rev. 1.0),489.99,AM5,EATX,128,4
MSI MEG X670E GODLIKE,1283.93,AM5,EATX,128,4
Asus TUF GAMING Z790-PLUS WIFI D4,249.99,LGA1700,ATX,128,4
Gigabyte Z790 AORUS MASTER,459.99,LGA1700,EATX,128,4
Gigabyte Z790 AERO G,279.99,LGA1700,ATX,128,4
ASRock B650E PG-ITX WIFI,289.99,AM5,Mini ITX,64,2
NZXT N7 B650E,316.99,AM5,ATX,128,4
ASRock B650 PG LIGHTNING,192.99,AM5,ATX,128,4
ASRock X570 Phantom Gaming-ITX/TB3,259.0,AM4,Mini ITX,64,2
Gigabyte Z690 UD DDR4,226.85,LGA1700,ATX,128,4
ASRock B450 Steel Legend,124.57,AM4,ATX,64,4
MSI PRO B660M-G DDR4,99.99,LGA1700,Micro ATX,64,2
MSI Z390-A PRO,239.0,LGA1151,ATX,128,4
MSI MPG B650 CARBON WIFI,311.47,AM5,ATX,128,4
Asus PRIME Z690-A,219.99,LGA1700,ATX,128,4
Gigabyte TRX40 AORUS XTREME,1909.0,sTRX4,XL ATX,256,8
Asus TUF GAMING B550-PLUS,174.5,AM4,ATX,128,4
Gigabyte B760M DS3H AX,129.99,LGA1700,Micro ATX,128,4
Asus ROG STRIX B650E-E GAMING WIFI,349.99,AM5,ATX,128,4
ASRock X570 Phantom Gaming 4,154.99,AM4,ATX,128,4
Gigabyte A620M GAMING X,99.99,AM5,Micro ATX,128,4
MSI PRO B550-VC,139.99,AM4,ATX,128,4
Gigabyte Z790 UD AC,179.99,LGA1700,ATX,128,4
Asus ROG STRIX Z790-A GAMING WIFI D4,339.99,LGA1700,ATX,128,4
Asus ROG STRIX Z790-F GAMING WIFI,391.99,LGA1700,ATX,128,4
ASRock B450M PRO4 R2.0,74.98,AM4,Micro ATX,128,4
Asus TUF GAMING B560M-PLUS WIFI,174.47,LGA1200,Micro ATX,128,4
Asus ROG STRIX Z390-E GAMING,340.0,LGA1151,ATX,128,4
Asus PRIME B550M-A,114.18,AM4,Micro ATX,128,4
MSI PRO B760M-A WIFI DDR4,169.99,LGA1700,Micro ATX,128,4
Gigabyte Z690 UD AX DDR4,159.99,LGA1700,ATX,128,4
Asus PRIME B550M-K,132.5,AM4,Micro ATX,128,4
Gigabyte H610M S2H,99.99,LGA1700,Micro ATX,64,2
Asus ROG STRIX Z690-F GAMING WIFI,249.99,LGA1700,ATX,128,4
Asus TUF GAMING B650M-PLUS WIFI,219.99,AM5,Micro ATX,128,4
ASRock B450M-HDV R4.0,90.84,AM4,Micro ATX,32,2
Asus ROG STRIX Z590-E GAMING WIFI,199.95,LGA1200,ATX,128,4
ASRock X570 Steel Legend WiFi ax,139.99,AM4,ATX,128,4
Gigabyte B760M DS3H DDR4,119.99,LGA1700,Micro ATX,128,4
MSI MPG Z690 CARBON WIFI,280.99,LGA1700,ATX,128,4
Asus PRIME X670-P,242.02,AM5,ATX,128,4
Asus TUF GAMING Z690-PLUS WIFI,166.99,LGA1700,ATX,128,4
MSI MAG B760M MORTAR WIFI,179.95,LGA1700,Micro ATX,128,4
MSI MEG X670E ACE,699.99,AM5,EATX,128,4
ASRock B760 Pro RS,129.99,LGA1700,ATX,128,4
ASRock H310CM-DVS,63.99,LGA1151,Micro ATX,32,2
ASRock B650M PG RIPTIDE WIFI,189.99,AM5,Micro ATX,128,4
MSI PRO Z690-A DDR4,189.99,LGA1700,ATX,128,4
Gigabyte B660M DS3H DDR4,165.94,LGA1700,Micro ATX,128,4
ASRock X670E Taichi,499.99,AM5,EATX,128,4
NZXT N5 Z690,239.99,LGA1700,ATX,128,4
MSI PRO B550M-P GEN3,144.84,AM4,Micro ATX,128,4
Asus PRIME B450-PLUS,125.79,AM4,ATX,64,4
Gigabyte B650 AORUS PRO AX,229.99,AM5,ATX,128,4
Gigabyte H510M H,98.78,LGA1200,Micro ATX,64,2
ASRock Z690 STEEL LEGEND/D5,199.99,LGA1700,ATX,128,4
ASRock Z590 Extreme WiFi 6E,119.99,LGA1200,ATX,128,4
Asus TUF GAMING B550M-PLUS,159.99,AM4,Micro ATX,128,4
Gigabyte H610M S2H DDR4,89.99,LGA1700,Micro ATX,64,2
Asus ROG STRIX B550-F GAMING (WI-FI),398.0,AM4,ATX,128,4
NZXT N7-Z69XT-W1,323.95,LGA1700,ATX,128,4
Asus PRIME B660M-A D4,135.99,LGA1700,Micro ATX,128,4
Gigabyte Z590I AORUS ULTRA,120.99,LGA1200,Mini ITX,64,2
MSI Z490-A PRO,217.16,LGA1200,ATX,128,4
Asus ROG MAXIMUS Z790 APEX,1199.49,LGA1700,ATX,64,2
MSI MEG Z790 ACE,579.99,LGA1700,EATX,128,4
Asus ROG STRIX Z690-G GAMING WIFI,284.0,LGA1700,Micro ATX,128,4
ASRock A620M Pro RS,114.99,AM5,Micro ATX,128,4
Gigabyte B450M K,102.75,AM4,Micro ATX,64,2
Asus TUF GAMING B660-PLUS WIFI D4,230.64,LGA1700,ATX,128,4
Gigabyte X570S AORUS MASTER,249.99,AM4,ATX,128,4
ASRock X670E Pro RS,268.99,AM5,ATX,128,4
ASRock H370M-ITX/ac,99.99,LGA1151,Mini ITX,32,2
Asus PRIME X670-P WIFI,272.99,AM5,ATX,128,4
Gigabyte B760I AORUS PRO DDR4,179.99,LGA1700,Mini ITX,64,2
Asus PRIME H610M-K D4,106.32,LGA1700,Micro ATX,64,2
Asus ROG STRIX B760-F GAMING WIFI,269.99,LGA1700,ATX,128,4
NZXT N7 B550,249.99,AM4,ATX,128,4
ASRock Z790 Steel Legend WiFi,229.99,LGA1700,ATX,128,4
Asus TUF GAMING B550-PRO,170.38,AM4,ATX,128,4
ASRock H610M-HVS,79.98,LGA1700,Micro ATX,64,2
Asus TUF GAMING B760-PLUS WIFI D4,199.99,LGA1700,ATX,128,4
Gigabyte A520 AORUS ELITE,111.05,AM4,ATX,128,4
Gigabyte A520M DS3H,94.94,AM4,Micro ATX,128,4
Asus PRIME X570-P,258.98,AM4,ATX,128,4
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),233.46,AM4,ATX,64,4
MSI MPG X570S CARBON MAX WIFI,259.99,AM4,ATX,128,4
Asus PRIME Z790M-PLUS,196.99,LGA1700,Micro ATX,128,4
ASRock X670E Taichi Carrara,522.99,AM5,EATX,128,4
Gigabyte B660I AORUS Pro DDR4,281.17,LGA1700,Mini ITX,64,2
MSI PRO B660M-P DDR4,125.99,LGA1700,Micro ATX,128,4
MSI PRO B660-A DDR4,164.08,LGA1700,ATX,128,4
Asus ROG Crosshair VIII Hero (WI-FI),381.99,AM4,ATX,128,4
MSI MPG Z790 EDGE WIFI DDR4,259.99,LGA1700,ATX,128,4
ASRock Z790 Pro RS,189.99,LGA1700,ATX,128,4
MSI MPG X570 GAMING EDGE WIFI,376.58,AM4,ATX,128,4
ASRock B760M Pro RS/D4,129.99,LGA1700,Micro ATX,128,4
Asus TUF GAMING B660M-PLUS WIFI D4,201.16,LGA1700,Micro ATX,128,4
Gigabyte B450M DS3H V2,157.0,AM4,Micro ATX,128,4
ASRock B365M-HDV,67.5,LGA1151,Micro ATX,32,2
ASRock B450 Pro4 R2.0,119.99,AM4,ATX,128,4
MSI MPG Z690 FORCE WIFI,309.99,LGA1700,ATX,128,4
Gigabyte B650 AERO G,239.99,AM5,ATX,128,4
Asus Prime Z590-P WiFi,140.97,LGA1200,ATX,128,4
Asus TUF GAMING A620M-PLUS WIFI,149.99,AM5,Micro ATX,128,4
ASRock B760M-ITX/D4 WiFi,184.18,LGA1700,Mini ITX,64,2
Gigabyte A620M S2H,86.99,AM5,Micro ATX,96,2
ASRock H610M-ITX/ac,151.04,LGA1700,Mini ITX,64,2
Asus ROG STRIX Z690-I GAMING WIFI,339.0,LGA1700,Mini ITX,64,2
Gigabyte Z690 GAMING X DDR4,227.38,LGA1700,ATX,128,4
Gigabyte X570 I AORUS PRO WIFI,369.0,AM4,Mini ITX,64,2
Asus PRIME Z790M-PLUS D4,189.0,LGA1700,Micro ATX,128,4
Gigabyte A520M H,87.69,AM4,Micro ATX,64,2
ASRock B650E STEEL LEGEND WIFI,229.99,AM5,ATX,128,4
Asus ROG MAXIMUS Z690 HERO,397.99,LGA1700,ATX,128,4
Asus PRIME B450M-A,199.0,AM4,Micro ATX,64,4
Intel DQ45EK,92.99,LGA775,Mini ITX,4,2
Gigabyte X670E AORUS XTREME (rev. 1.0),699.99,AM5,EATX,128,4
Asus ROG MAXIMUS Z690 FORMULA,920.68,LGA1700,ATX,128,4
Asus TUF GAMING B760M-PLUS WIFI,194.99,LGA1700,Micro ATX,128,4
ASRock B760M Pro RS/D4 WiFi,149.99,LGA1700,Micro ATX,128,4
Gigabyte Z790 AORUS ELITE AX DDR4,234.99,LGA1700,ATX,128,4
Asus ROG MAXIMUS Z690 APEX,1201.0,LGA1700,ATX,64,2
MSI MAG B660M MORTAR MAX WIFI DDR4,159.99,LGA1700,Micro ATX,128,4
Asus PRIME A520M-K,107.36,AM4,Micro ATX,64,2
Gigabyte B760M C,134.99,LGA1700,Micro ATX,192,4
ASRock B550 Steel Legend,149.99,AM4,ATX,128,4
Gigabyte B760I AORUS PRO,266.39,LGA1700,Mini ITX,96,2
Gigabyte B760 DS3H AC DDR4,119.99,LGA1700,ATX,128,4
ASRock Z790 PG-ITX/TB4,334.99,LGA1700,Mini ITX,64,2
Asus STRIX B350-F GAMING,199.67,AM4,ATX,64,4
ASRock Z790 PG Lightning/D4,169.99,LGA1700,ATX,128,4
Gigabyte X570 AORUS ELITE,318.99,AM4,ATX,128,4
Asus TUF GAMING B450M-PRO II,134.59,AM4,Micro ATX,128,4
Asus PRIME Z690-P D4,199.99,LGA1700,ATX,128,4
ASRock B760M PG SONIC WiFi,139.99,LGA1700,Micro ATX,128,4
ASRock Z690 Pro RS,149.99,LGA1700,ATX,128,4
Asus TUF GAMING B450M-PLUS II,128.99,AM4,Micro ATX,128,4
Asus ROG STRIX Z690-A GAMING WIFI,192.32,LGA1700,ATX,128,4
ASRock Z690 Phantom Gaming 4,139.99,LGA1700,ATX,128,4
ASRock Z590 Steel Legend,114.5,LGA1200,ATX,128,4
Asus ROG STRIX Z490-E GAMING,369.77,LGA1200,ATX,128,4
MSI MAG B550M MORTAR WIFI,279.25,AM4,Micro ATX,128,4
ASRock Z690 Steel Legend,139.99,LGA1700,ATX,128,4
ASRock A620M-HDV/M.2+,95.99,AM5,Micro ATX,64,2
Asus ROG STRIX B760-A GAMING WIFI,244.99,LGA1700,ATX,128,4
ASRock B550 PG Velocita,129.99,AM4,ATX,128,4
Asus ASUS B85M-E,113.11,LGA1150,Micro ATX,32,4
Gigabyte H610I,119.99,LGA1700,Mini ITX,64,2
Asus ROG MAXIMUS Z690 EXTREME,949.99,LGA1700,EATX,128,4
Asus PRIME H310M-E R2.0,189.0,LGA1151,Micro ATX,32,2
ASRock B660M Phantom Gaming 4,133.61,LGA1700,Micro ATX,128,4
Asus PRIME B550M-A AC,128.99,AM4,Micro ATX,128,4
MSI B560M PRO-E,131.44,LGA1200,Micro ATX,64,2
ASRock X570 Pro4,150.99,AM4,ATX,128,4
Asus TUF GAMING H670-PRO WIFI D4,179.99,LGA1700,ATX,128,4
ASRock H670M-ITX/ax,169.99,LGA1700,Mini ITX,64,2
Asus PRIME H610M-E D4,121.9,LGA1700,Micro ATX,64,2
Gigabyte Z590 VISION G,219.99,LGA1200,ATX,128,4
ASRock X570 Taichi,218.99,AM4,ATX,128,4
ASRock H510M-ITX/ac,211.0,LGA1200,Mini ITX,64,2
Gigabyte B650E AORUS MASTER,484.09,AM5,ATX,128,4
Asus PRIME H510M-E,98.05,LGA1200,Micro ATX,64,2
MSI PRO H610M-G WIFI DDR4,109.99,LGA1700,Micro ATX,64,2
MSI MPG Z390 GAMING EDGE AC,357.88,LGA1151,ATX,128,4
MSI PRO B760-P WIFI,169.99,LGA1700,ATX,192,4
MSI MAG B560M MORTAR,129.99,LGA1200,Micro ATX,128,4
Gigabyte X670 GAMING X AX (rev. 1.0),343.16,AM5,ATX,128,4
Gigabyte H610I DDR4,109.99,LGA1700,Mini ITX,64,2
Asus PRIME B760M-A D4,144.99,LGA1700,Micro ATX,128,4
Asus PRIME Z270-A,442.22,LGA1151,ATX,64,4
Asus TUF GAMING X570-PLUS,228.89,AM4,ATX,128,4
Gigabyte B660 DS3H AX DDR4,180.21,LGA1700,ATX,128,4
ASRock Z690 Phantom Gaming-ITX/TB4,245.99,LGA1700,Mini ITX,64,2
Asus ROG CROSSHAIR X670E GENE,646.95,AM5,Micro ATX,64,2
ASRock B760M-HDV/M.2 D4,109.99,LGA1700,Micro ATX,64,2
MSI PRO B660M-A DDR4,179.99,LGA1700,Micro ATX,128,4
Asus TUF GAMING B760-PLUS WIFI,209.99,LGA1700,ATX,128,4
NZXT N5 Z690,239.99,LGA1700,ATX,128,4
ASRock H610M-HDV,92.83,LGA1700,Micro ATX,64,2
Gigabyte X570 AORUS ELITE WIFI,375.99,AM4,ATX,128,4
ASRock B550 Extreme4,164.99,AM4,ATX,128,4
Asus TUF GAMING X670E-PLUS,349.07,AM5,ATX,128,4
MSI X570-A PRO,259.0,AM4,ATX,128,4
Gigabyte Z690 AERO G DDR4,215.95,LGA1700,ATX,128,4
Asus ROG MAXIMUS XI HERO (WI-FI),455.0,LGA1151,ATX,128,4
ASRock A620M-HDV/M.2,85.99,AM5,Micro ATX,64,2
Asus PRIME H770-PLUS D4,154.99,LGA1700,ATX,128,4
MSI B650 GAMING PLUS WIFI,200.98,AM5,ATX,128,4
MSI PRO Z790-A WIFI DDR4,249.99,LGA1700,ATX,128,4
EVGA Z790 DARK K|NGP|N,649.99,LGA1700,EATX,64,2
Gigabyte Z390 UD,235.0,LGA1151,ATX,128,4
ASRock Z790 PG SONIC,249.99,LGA1700,ATX,128,4
Gigabyte Z790 D DDR4,189.99,LGA1700,ATX,128,4
ASRock H310CM-HDV,82.99,LGA1151,Micro ATX,32,2
